image_file,label,perimeter,nm_lns,mean_length,std_length,mean_slope,std_slope,max_acute_angle,min_acute_angle,area,num_corners,corner_ratio
1997.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
1081.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
336.png,1,5.959821428571429,7,0.35995748319849247,0.05420764100514699,0.5424257159551278,1.1185266175007524,90.0,0.03970600854205408,28.59375,81,0.36160714285714285
636.png,1,5.147321428571429,4,0.2801339285714286,0.0279463929141717,0.0,0.0,90.0,0.0,21.870535714285715,88,0.39285714285714285
1516.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
380.png,0,5.974548440065681,32,0.1324329080696259,0.0486147472863577,1.3131853766671813,52.3578423472088,90.0,0.05275852976272564,24.714285714285715,274,0.22495894909688013
72.png,0,2.5895745955662073,19,0.07664959502595875,0.039938855483804665,75.67142857142858,33.915910419622186,90.0,0.07760145978798029,11.08328340323547,140,0.08388256440982625
891.png,1,1.8392857142857142,1,0.34377898764604387,0.0,-0.012987012987012988,0.0,0.0,90.0,8.508928571428571,30,0.13392857142857142
1261.png,1,4.611607142857143,4,0.2713114255401649,0.01415268557972888,-19.04862155388471,28.957036990495055,90.0,2.214598420056497,17.415178571428573,70,0.3125
1218.png,1,3.375,2,0.3772321428571429,0.14508928571428573,--,--,90.0,90.0,15.620535714285714,58,0.25892857142857145
1110.png,1,4.5,1,0.23660714285714285,0.0,0.0,0.0,0.0,90.0,18.325892857142858,203,0.90625
1558.png,1,4.5,1,0.23660714285714285,0.0,0.0,0.0,0.0,90.0,18.325892857142858,203,0.90625
39.png,0,4.199865861837693,33,0.117827921270658,0.017452593268099056,-15.83023569023569,21.584083855182314,90.0,0.06960608457417879,17.43796109993293,124,0.08316566063044936
1736.png,1,5.066964285714286,1,0.28252263093387037,0.0,-10.5,0.0,0.0,90.0,23.84375,90,0.4017857142857143
561.png,1,1.8616071428571428,1,0.22767857142857142,0.0,0.0,0.0,0.0,90.0,8.758928571428571,40,0.17857142857142858
384.png,0,5.974548440065681,32,0.1324329080696259,0.0486147472863577,1.3131853766671813,52.3578423472088,90.0,0.05275852976272564,24.714285714285715,274,0.22495894909688013
1369.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
1239.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
568.png,1,4.763392857142857,5,0.31553242185990127,0.05383896235506595,0.32478093629796423,2.0492653031417194,72.27974455367297,0.22557276963407083,18.852678571428573,99,0.4419642857142857
1772.png,1,4.258928571428571,2,0.2918110739057106,0.015025359619996265,6.8,0.0,90.0,90.0,18.15625,84,0.375
956.png,1,3.7276785714285716,2,0.42206601532923504,0.14237931697785855,-6.73391812865497,0.15497076023391854,0.3833646001267667,0.3833646001267667,16.34375,87,0.38839285714285715
1205.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
1480.png,1,1.802857142857143,2,0.10643571357157139,0.034992857857000036,50.0,0.0,90.0,90.0,8.06,92,0.13142857142857142
1155.png,1,6.084821428571429,6,0.6220728247466475,0.17617415260690422,1.2925823090036384,0.062317889235060625,4.151343692929329,0.020129679262416364,28.53125,41,0.18303571428571427
